participant,min_train_loss,min_train_mae,init_src_content_weight_mean_0,trained_src_content_weight_mean_0,init_src_content_weight_mean_1,trained_src_content_weight_mean_1,init_src_content_weight_std_0,trained_src_content_weight_std_0,init_src_content_weight_std_1,trained_src_content_weight_std_1,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_weight_mean_0,trained_src_edge_weight_mean_0,init_src_edge_weight_std_0,trained_src_edge_weight_std_0,init_full_src_edge_weight_mean_0,trained_full_src_edge_weight_mean_0,init_full_src_edge_weight_std_0,trained_full_src_edge_weight_std_0,init_dst_content_weight_mean_0,trained_dst_content_weight_mean_0,init_dst_content_weight_std_0,trained_dst_content_weight_std_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_weight_mean_0,trained_dst_edge_weight_mean_0,init_dst_edge_weight_std_0,trained_dst_edge_weight_std_0,init_full_dst_edge_weight_mean_0,trained_full_dst_edge_weight_mean_0,init_full_dst_edge_weight_std_0,trained_full_dst_edge_weight_std_0,init_att_edge_0,trained_att_edge_0,init_edge_weight_mean_0,trained_edge_weight_mean_0,init_edge_weight_std_0,trained_edge_weight_std_0,init_full_edge_weight_mean_0,trained_full_edge_weight_mean_0,init_full_edge_weight_std_0,trained_full_edge_weight_std_0,init_bias_0,trained_bias_0
42,44.41049,0.45465738,0.30776113271713257,1.8675599098205566,0.5090569257736206,2.070131778717041,-1.217366337776184,-3.648813247680664,1.037887454032898,-2.315122604370117,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-2.2178738117218018,3.708510637283325,0.7542216777801514,-1.543935775756836,-2.2178738117218018,3.708510637283325,0.7542216777801514,-1.543935775756836,,
43,78.810165,0.83928484,-0.13322025537490845,1.3807653188705444,0.2635931372642517,1.14501953125,1.3112919330596924,-2.2444651126861572,-0.314742773771286,-2.652327060699463,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.3875996768474579,8.390151977539062,1.9312527179718018,-1.3880207538604736,-0.3875996768474579,8.390151977539062,1.9312527179718018,-1.3880207538604736,,
44,99.22644,0.604182,0.464468777179718,4.165874004364014,-0.3027901351451874,1.200085997581482,-0.03106405772268772,-2.520087957382202,-0.06379196792840958,-3.075678825378418,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.5089513063430786,3.546576976776123,-0.7374646067619324,-2.7791223526000977,-0.5089513063430786,3.546576976776123,-0.7374646067619324,-2.7791223526000977,,
45,37.83525,0.24443309,1.606606364250183,0.9589298367500305,-0.49207714200019836,0.7097569704055786,0.018510151654481888,-3.3468639850616455,-0.3138582110404968,-3.4605700969696045,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.5449895858764648,12.221144676208496,-0.7444589734077454,-1.7959277629852295,-0.5449895858764648,12.221144676208496,-0.7444589734077454,-1.7959277629852295,,
46,100.26497,0.71069163,0.7295563220977783,2.4620823860168457,-0.7063564658164978,2.055145502090454,-0.11476912349462509,-2.973877429962158,1.181376338005066,-2.2605793476104736,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.5365450382232666,6.204995155334473,-0.8483293652534485,-2.70788836479187,0.5365450382232666,6.204995155334473,-0.8483293652534485,-2.70788836479187,,
47,59.271034,0.5693791,-0.8852499723434448,1.0477098226547241,0.04704967886209488,-0.419565886259079,-0.6840785145759583,-2.98884654045105,-0.7422980070114136,-1.6949807405471802,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.6306630373001099,4.242250442504883,-0.30798861384391785,-1.9947572946548462,-0.6306630373001099,4.242250442504883,-0.30798861384391785,-1.9947572946548462,,
48,70.459656,0.54231596,-0.0633593499660492,7.7569193840026855,0.027907712385058403,1.9351025819778442,0.447238028049469,-2.488468885421753,0.9477021098136902,-2.9826531410217285,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.7487069368362427,3.4128754138946533,0.9656044840812683,-2.694427967071533,-0.7487069368362427,3.4128754138946533,0.9656044840812683,-2.694427967071533,,
49,62.355793,0.4928121,-1.6696244478225708,-0.24911189079284668,-0.15650784969329834,-2.8703861236572266,0.902083694934845,-2.0454864501953125,-1.463638186454773,-2.396566390991211,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.017786478623747826,-1.1876037120819092,0.6161016225814819,-0.6942635178565979,-0.017786478623747826,-1.1876037120819092,0.6161016225814819,-0.6942635178565979,,
50,88.12131,0.8020063,0.3294331133365631,1.9060031175613403,0.12767258286476135,2.3300628662109375,-0.1017637625336647,-3.202160120010376,0.24100244045257568,-2.650595188140869,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.05358611047267914,6.37311315536499,-0.6857808828353882,-2.1656086444854736,-0.05358611047267914,6.37311315536499,-0.6857808828353882,-2.1656086444854736,,
51,83.22945,0.55529284,-0.8552179932594299,0.7389437556266785,0.1761738657951355,-3.091031312942505,1.2372639179229736,-1.8986788988113403,-1.9576747417449951,-2.17450213432312,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.0827277898788452,-2.3273143768310547,1.6176015138626099,0.16854692995548248,-1.0827277898788452,-2.3273143768310547,1.6176015138626099,0.16854692995548248,,
52,64.93497,0.57654905,-1.2222278118133545,0.704477846622467,-0.010387299582362175,-2.709972381591797,-0.640296459197998,-2.8007335662841797,-1.6514686346054077,-2.254926919937134,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.262372225522995,4.479732513427734,0.7982336282730103,-1.2260551452636719,-0.262372225522995,4.479732513427734,0.7982336282730103,-1.2260551452636719,,
53,106.02237,0.7700926,0.4478113353252411,3.2703189849853516,1.0261210203170776,2.0175981521606445,0.639132559299469,-2.6017725467681885,-1.0226020812988281,-3.5656304359436035,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.5464606285095215,3.4169278144836426,1.362627625465393,-2.1306159496307373,-1.5464606285095215,3.4169278144836426,1.362627625465393,-2.1306159496307373,,
54,195.51233,0.9772957,0.10121322423219681,0.905215322971344,-1.040171504020691,0.6998032927513123,3.412463903427124,-1.1586912870407104,-1.2753430604934692,-2.799612283706665,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.331706166267395,-0.9085217118263245,0.32150405645370483,0.6858347058296204,-1.331706166267395,-0.9085217118263245,0.32150405645370483,0.6858347058296204,,
