participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
96,0.48408547043800354,0.6957625150680542,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.3962641954421997,0.3962641954421997,0.3962641954421997,0.3962641954421997,,
97,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.4634020328521729,-1.4634020328521729,-1.4634020328521729,-1.4634020328521729,,
98,1.9356098175048828,1.3552244901657104,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.0035048723220825,-1.0035048723220825,-1.0035048723220825,-1.0035048723220825,,
99,0.9751866459846497,0.8570987582206726,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.28885695338249207,0.28885695338249207,0.28885695338249207,0.28885695338249207,,
100,1.2602695226669312,0.9841510653495789,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4999005794525146,1.4999005794525146,1.4999005794525146,1.4999005794525146,,
101,0.5997535586357117,0.7199629545211792,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4524955749511719,1.4524955749511719,1.4524955749511719,1.4524955749511719,,
102,0.3827713131904602,0.4926517605781555,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.4967253804206848,-0.4967253804206848,-0.4967253804206848,-0.4967253804206848,,
103,0.7654119729995728,0.8167647123336792,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.270582675933838,-1.270582675933838,-1.270582675933838,-1.270582675933838,,
104,1.2988865375518799,0.9861677289009094,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8390341401100159,-0.8390341401100159,-0.8390341401100159,-0.8390341401100159,,
105,2.1709115505218506,1.4721931219100952,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0602221488952637,1.0602221488952637,1.0602221488952637,1.0602221488952637,,
106,0.5093420743942261,0.6231611967086792,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.6488103866577148,1.6488103866577148,1.6488103866577148,1.6488103866577148,,
107,0.523663341999054,0.6276987791061401,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.3823821544647217,-0.3823821544647217,-0.3823821544647217,-0.3823821544647217,,
108,1.8429006338119507,1.260439395904541,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1944316625595093,1.1944316625595093,1.1944316625595093,1.1944316625595093,,
109,1.3164561986923218,1.0950697660446167,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5322909355163574,0.5322909355163574,0.5322909355163574,0.5322909355163574,,
110,0.5550053119659424,0.7411383390426636,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.2689567506313324,0.2689567506313324,0.2689567506313324,0.2689567506313324,,
111,1.4393434524536133,1.1495206356048584,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.6126879453659058,1.6126879453659058,1.6126879453659058,1.6126879453659058,,
112,1.5016716718673706,1.1538422107696533,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.13631147146224976,-0.13631147146224976,-0.13631147146224976,-0.13631147146224976,,
