participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
77,0.25675827264785767,0.17085619270801544,157.0,34.0,261.0,0.07014895975589752,0.9875050187110901,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5509403347969055,-5.453409671783447,0.5509403347969055,-5.453409671783447,,
78,0.6536159515380859,0.6291955709457397,192.0,16.0,217.0,0.7736201286315918,0.8434051275253296,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.641244649887085,17.08217430114746,1.641244649887085,17.08217430114746,,
79,0.12217219918966293,0.19732169806957245,174.0,41.0,250.0,-1.3548129796981812,0.9886751174926758,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.2669739723205566,-1.2669739723205566,-1.2669739723205566,-1.2669739723205566,,
80,0.31777700781822205,0.4798612892627716,182.0,36.0,299.0,-0.6432591080665588,1.1447993516921997,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.888841450214386,11.735231399536133,0.888841450214386,11.735231399536133,,
81,1.3828967809677124,1.0073044300079346,125.0,3.0,241.0,1.2420228719711304,0.8302125334739685,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7979137301445007,-0.7979137301445007,-0.7979137301445007,-0.7979137301445007,,
82,0.5985965132713318,0.42883604764938354,188.0,29.0,258.0,-0.3280777931213379,0.9664646983146667,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.9284709095954895,12.128824234008789,-0.9284709095954895,12.128824234008789,,
83,,,,,,1.1588298082351685,1.1588298082351685,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.4770262539386749,0.4770262539386749,0.4770262539386749,0.4770262539386749,,
84,0.4660918712615967,0.5153770446777344,191.0,26.0,241.0,0.43385180830955505,0.804176390171051,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0659706592559814,-6.0976338386535645,1.0659706592559814,-6.0976338386535645,,
85,0.2232401967048645,0.399690181016922,194.0,23.0,272.0,-0.7320768237113953,0.9058821797370911,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.46220663189888,-0.46220663189888,-0.46220663189888,-0.46220663189888,,
86,,,,,,-0.9308274388313293,-0.9308274388313293,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.0540567971765995,-0.0540567971765995,-0.0540567971765995,-0.0540567971765995,,
